,rank,title,rate
620,21,박하사탕,9.03
621,22,남매의 여름밤,9.00
622,23,온워드: 단 하루의 기적,8.99
623,24,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,8.98
624,25,미스터트롯: 더 무비,8.90
625,26,아웃포스트,8.89
626,27,담보,8.88
627,28,거인,8.87
628,29,1917,8.86
629,30,작은 아씨들,8.84
630,31,아멜리에,8.82
631,32,미드웨이,8.80
632,33,위플래쉬,8.79
633,34,너의 이름은.,8.78
634,35,도그빌,8.76
635,36,그을린 사랑,8.67
636,37,69세,8.63
637,38,라라랜드,8.61
638,39,삼진그룹 영어토익반,8.47
639,40,카페 벨에포크,8.42
640,41,셔터 아일랜드,8.37
641,42,레볼루셔너리 로드,8.37
642,43,복수는 나의 것,8.36
643,44,검객,8.30
644,45,테넷,8.27
645,46,콜드 워,8.27
646,47,야구소녀,8.19
647,48,프란시스 하,8.13
648,49,드라이브,8.07
649,50,더 테이블,7.99
650,1,그린 북,9.59
651,2,부활: 그 증거,9.53
652,3,포드 V 페라리,9.49
653,4,소년시절의 너,9.40
654,5,죽은 시인의 사회,9.37
655,6,"미안해요, 리키",9.34
656,7,시네마 천국,9.32
657,8,패왕별희 디 오리지널,9.31
658,9,폴란드로 간 아이들,9.31
659,10,"나, 다니엘 블레이크",9.28
660,11,공동경비구역 JSA,9.27
661,12,피아니스트의 전설,9.25
662,13,톰보이,9.20
663,14,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.19
664,15,스타 이즈 본,9.18
665,16,조조 래빗,9.16
666,17,나이브스 아웃,9.11
667,18,타오르는 여인의 초상,9.06
668,19,노트북,9.05
669,20,올드보이,9.05
670,21,타샤 튜더,9.04
671,22,박하사탕,9.03
672,23,남매의 여름밤,9.00
673,24,온워드: 단 하루의 기적,8.99
674,25,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,8.98
675,26,미스터트롯: 더 무비,8.90
676,27,아웃포스트,8.90
677,28,담보,8.88
678,29,거인,8.87
679,30,1917,8.86
680,31,작은 아씨들,8.84
681,32,아멜리에,8.82
682,33,미드웨이,8.80
683,34,위플래쉬,8.79
684,35,너의 이름은.,8.78
685,36,도그빌,8.76
686,37,그을린 사랑,8.67
687,38,베스트 오퍼,8.65
688,39,69세,8.63
689,40,라라랜드,8.61
690,41,삼진그룹 영어토익반,8.47
691,42,카페 벨에포크,8.42
692,43,셔터 아일랜드,8.37
693,44,레볼루셔너리 로드,8.37
694,45,복수는 나의 것,8.37
695,46,검객,8.27
696,47,테넷,8.27
697,48,콜드 워,8.27
698,49,야구소녀,8.19
699,50,프란시스 하,8.13
700,1,부활: 그 증거,9.53
701,2,포드 V 페라리,9.49
702,3,소년시절의 너,9.40
703,4,죽은 시인의 사회,9.37
704,5,"미안해요, 리키",9.34
705,6,시네마 천국,9.32
706,7,패왕별희 디 오리지널,9.32
707,8,폴란드로 간 아이들,9.31
708,9,"나, 다니엘 블레이크",9.28
709,10,공동경비구역 JSA,9.27
710,11,피아니스트의 전설,9.25
711,12,톰보이,9.20
712,13,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.16
713,14,조조 래빗,9.16
714,15,나이브스 아웃,9.11
715,16,타오르는 여인의 초상,9.06
716,17,노트북,9.05
717,18,올드보이,9.05
718,19,타샤 튜더,9.04
719,20,박하사탕,9.03
720,21,남매의 여름밤,9.00
721,22,온워드: 단 하루의 기적,8.99
722,23,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,8.98
723,24,아웃포스트,8.90
724,25,미스터트롯: 더 무비,8.89
725,26,담보,8.88
726,27,거인,8.87
727,28,1917,8.86
728,29,작은 아씨들,8.84
729,30,아멜리에,8.82
730,31,미드웨이,8.80
731,32,위플래쉬,8.79
732,33,너의 이름은.,8.78
733,34,"가장 따뜻한 색, 블루",8.77
734,35,도그빌,8.76
735,36,그을린 사랑,8.67
736,37,베스트 오퍼,8.65
737,38,69세,8.63
738,39,라라랜드,8.61
739,40,족구왕,8.54
740,41,삼진그룹 영어토익반,8.48
741,42,로렌스 애니웨이 ,8.44
742,43,카페 벨에포크,8.42
743,44,셔터 아일랜드,8.37
744,45,레볼루셔너리 로드,8.37
745,46,복수는 나의 것,8.37
746,47,메기,8.29
747,48,테넷,8.27
748,49,콜드 워,8.27
749,50,검객,8.25
750,1,부활: 그 증거,9.53
751,2,포드 V 페라리,9.49
752,3,소년시절의 너,9.40
753,4,죽은 시인의 사회,9.37
754,5,"미안해요, 리키",9.34
755,6,시네마 천국,9.32
756,7,패왕별희 디 오리지널,9.32
757,8,폴란드로 간 아이들,9.31
758,9,공동경비구역 JSA,9.27
759,10,피아니스트의 전설,9.25
760,11,톰보이,9.20
761,12,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.17
762,13,조조 래빗,9.16
763,14,나이브스 아웃,9.11
764,15,타오르는 여인의 초상,9.06
765,16,노트북,9.05
766,17,올드보이,9.05
767,18,타샤 튜더,9.04
768,19,박하사탕,9.03
769,20,남매의 여름밤,9.00
770,21,온워드: 단 하루의 기적,8.99
771,22,윤희에게,8.98
772,23,아웃포스트,8.91
773,24,미스터트롯: 더 무비,8.88
774,25,담보,8.88
775,26,거인,8.87
776,27,1917,8.86
777,28,작은 아씨들,8.84
778,29,아멜리에,8.82
779,30,미드웨이,8.80
780,31,위플래쉬,8.79
781,32,너의 이름은.,8.78
782,33,"가장 따뜻한 색, 블루",8.77
783,34,도그빌,8.76
784,35,그을린 사랑,8.67
785,36,베스트 오퍼,8.65
786,37,69세,8.63
787,38,라라랜드,8.61
788,39,족구왕,8.54
789,40,삼진그룹 영어토익반,8.48
790,41,로렌스 애니웨이 ,8.44
791,42,카페 벨에포크,8.42
792,43,셔터 아일랜드,8.37
793,44,레볼루셔너리 로드,8.37
794,45,복수는 나의 것,8.37
795,46,메기,8.29
796,47,테넷,8.27
797,48,검객,8.21
798,49,야구소녀,8.19
799,50,프란시스 하,8.13
800,1,부활: 그 증거,9.56
801,2,포드 V 페라리,9.49
802,3,소년시절의 너,9.40
803,4,죽은 시인의 사회,9.37
804,5,"미안해요, 리키",9.34
805,6,시네마 천국,9.32
806,7,패왕별희 디 오리지널,9.32
807,8,폴란드로 간 아이들,9.31
808,9,공동경비구역 JSA,9.27
809,10,피아니스트의 전설,9.25
810,11,어느 가족,9.20
811,12,톰보이,9.20
812,13,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.17
813,14,조조 래빗,9.16
814,15,나이브스 아웃,9.11
815,16,타오르는 여인의 초상,9.06
816,17,노트북,9.05
817,18,올드보이,9.05
818,19,박하사탕,9.03
819,20,남매의 여름밤,8.99
820,21,온워드: 단 하루의 기적,8.99
821,22,윤희에게,8.98
822,23,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,8.98
823,24,아웃포스트,8.90
824,25,배심원들,8.89
825,26,담보,8.88
826,27,미스터트롯: 더 무비,8.88
827,28,거인,8.87
828,29,1917,8.86
