,메뉴,설명
70,슈크림소보로,고소한 땅콩소보로 속에 슈크림이 듬뿍 들어있는 제품
71,사르르 우유크림빵,쫄깃 폭신한 빵에 진한 우유 크림이 듬뿍 들어있어 먹는 순간 입 안에서 사르르 녹는 제품
72,새콤달콤 유자파이,바삭바삭한 파이 안에 유자크림이 들어가 더욱 상큼한 패스트리
73,흑심 품은 맘모스(대),"통팥앙금이 들어간 빵 사이에 고소한 흑임자 크림치즈, 밤 다이스가 들어간 간식용 빵"
74,라우겐(2개입),"짙은 갈색이 도는 담백한 독일빵으로 앙버터, 샌드위치 등을 만들어 먹을 수 있는 제품"
75,NEW정통고로케,"바삭바삭하게 잘 튀겨진 빵 속에 다진 돼지고기, 양파, 당면이 듬뿍 들어간 담백촉촉 정통고..."
76,NEW김치고로케,"바삭바삭하게 잘 튀겨진 빵 속에 매콤한 김치, 당면이 듬뿍 들어간 매콤쫄깃 김치고로케"
77,NEW바베큐치킨고로케,바삭바삭하게 잘 튀겨진 빵 속에 풍미가 좋은 바베큐 치킨이 듬뿍 들어간 달콤든든 바베큐치킨...
78,부추잡채고로케,"바삭바삭한 빵 속에 부추, 잡채, 닭고기 등을 은은한 불향으로 맛있게 볶은 내용물이 듬뿍 ..."
79,TLJ 옥수수 듬뿍 옥수수...,한층 더 촉촉해지고 옥수수 맛이 풍부한 빵 속에 고소한 옥수수 알갱이가 톡톡 씹히는 식빵
80,빵속에리얼초코,달콤하고 진한 벨기에산 초코크림이 부드러운 빵 속에 가득 채워져 간식으로 즐기기 좋은 제품
81,아몬드보스톡,깊고 진한 버터의 풍미와 고소한 아몬드크림이 어우러지는 보스톡
82,카라멜러스크,깊고 진한 버터의 풍미와 카라멜라이징한 생크림 소스와 설탕의 달달함이 어우러지는 제품
83,NEW고소한후랑크소시지,"더욱 커지고 업그레이드된 후랑크 소시지가 
통으로 들어간 고소하고 짭조롬한 간식빵"
84,NEW어니언소시지포카치아,"부드럽고 쫄깃한 포카치아와 머스터드, 크리스피 어니언이 토핑 된 소세지를 함께 즐길 수 있..."
85,NEW단팥소보로,달콤하고 고소한 소보로빵에 업그레이드된 단팥앙금이 가득 들어있는 소보로빵
86,크림코르네,바삭하고 달콤한 데니쉬 안에 슈크림을 듬뿍 넣은 제품
87,탕종법으로 만든 쫄깃한 식...,촉촉함과 쫄깃한 맛이 특징인 식빵으로 촉촉한 식감으로 즐기고 싶을 때는 식빵 자체로 즐기며...
88,후레쉬 크림빵,부드러운 빵 속에 달콤한 연유버터크림을 샌드하여 남녀노소 모두가 즐기는 간식빵
89,쫄깃한 찹쌀도넛,탕종으로 쫄깃함을 더한 달콤한 고운 앙금이 들어간 쫄깃한 찹쌀도넛
90,호두 연유 바게트,고소한 호두 바게트에 달콤한 연유버터크림이 샌드 된 바게트
91,오리지널 크라상,버터가 듬뿍 들어가 고소한 풍미가 뛰어나고 한 겹 한 겹 정성으로 접어 만들어 패스트리의 ...
92,프랑보아즈 아몬드 크라상,바삭하고 버터의 풍미가 좋은 크라상 속에 상큼한 라즈베리 잼과 고소한 아몬드 크림이 잘 어...
93,밤이 듬뿍 맘모스(소),"담백한 빵 속에 달콤한 단팥 앙금, 부드러운 
크림, 아삭아삭 달콤한 밤과 고구마가 듬뿍..."
94,통큰양파빵,"롤치즈, 파슬리로 담백한 맛을 낸 빵 위에 양파, 레드 체다, 피자치즈, 베이컨 토핑을 듬..."
95,퀸즈 브리오쉬 브레드,부드럽고 촉촉한 브리오쉬안에 블루베리잼과 연유버터크림이 어우러져 나눠먹으면 더 맛있는 브레...
96,담백하고쫄깃한탕종브레드,탕종법으로 만든 반죽에 담백하고 은은한   단맛이 느껴지는 쫄깃한 제품
97,핫도그패스트리,"바삭한 패스트리 속에 돈육 함량이 88.9%인 
더 건강한 그릴후랑크를 올려 구워..."
98,밤이 듬뿍 맘모스(대),"담백한 빵 속에 달콤함 단팥 앙금, 부드러운 
크림, 아삭아삭 달콤한 밤과 고구마가 듬뿍..."
99,오리지널 생크림 크라상,고소하고 바삭한 오리지널 크로와상에 달콤한 생크림이 샌드 되어 커피와 함께 디저트로 즐기기...
100,카페모카빵(소),진하고 부드러운 모카향 가득~ 우유나 커피와 함께하면 더욱 맛있는 뚜레쥬르 카페모카빵
101,"겉은바삭, 속은 촉촉한 플...",커피와 잘 어울리는 바삭한 비스킷 타입의 스콘
102,"겉은바삭, 속은 촉촉한 쇼...",초코칩이 쏙쏙 박힌 비스킷 타입의 초코 스콘
103,낙엽소시지브레드,하나씩 떼어먹는 재미가 있는 낙엽 모양의 소시지 브레드
104,동글동글순치즈,버터풍미의 부드러운 브리오쉬안에 달콤한 슈크림과 깨끗한 맛의 자연치즈가 쏙쏙 들어있는 빵(...
105,카페 카야번,국내에서 직접 로스팅 한 그랑드카페 원두를 곱게 갈아 넣은 카페 번에 카야 잼을 넣어 향긋...
106,순우유브레드,유기농 우유로 반죽하여 더 부드럽고 촉촉한 순우유 브레드 (유기농우유함량:18.77%...
107,뉴패스트리도넛,바삭바삭한 패스트리로 즐기는 꽈배기도넛
108,맘모스빵 (소),새콤한 국내산 사과잼과 달콤한 버터크림을 샌드한 소보로 듬뿍 맘모스빵*크...
109,땅콩크림밀크브레드,땅콩이 듬뿍 토핑 된 우유 빵에 고소한 땅콩 크림이 들어간 브레드
110,허니밀크브레드,우유와 꿀의 달콤함과 아몬드의 고소함이 더한 부드러운 브레드
111,순꿀 호떡,"향긋한 아카시아꿀에 해바라기씨, 아몬드, 땅콩, 호박씨 등 견과류를 듬뿍 넣어 구워낸 꿀호..."
